fork_owner,fork_url,owner_type,created_at,pushed_at,size,stars,forks_of_fork,open_issues,has_homepage,is_archived
piotroq,https://github.com/piotroq/claude-code-templates,User,2026-01-12T03:27:55Z,2026-01-12T03:28:02Z,39848,0,0,1,True,False
CyberMonitor,https://github.com/CyberMonitor/claude-code-templates,User,2026-01-12T03:16:53Z,2026-01-12T02:18:09Z,43012,0,0,0,True,False
hulaba,https://github.com/hulaba/claude-code-templates,User,2026-01-12T03:14:30Z,2026-01-12T02:18:09Z,43012,0,0,0,True,False
qinshanyan,https://github.com/qinshanyan/claude-code-templates,User,2026-01-12T02:06:41Z,2026-01-12T00:55:01Z,43012,0,0,0,True,False
wintonstark-hub,https://github.com/wintonstark-hub/claude-code-templates,User,2026-01-12T01:19:18Z,2026-01-12T00:55:01Z,43012,0,0,0,True,False
melnikovics,https://github.com/melnikovics/claude-code-templates,User,2026-01-11T22:15:27Z,2026-01-11T19:55:17Z,43005,0,0,0,True,False
muhammadcaeed,https://github.com/muhammadcaeed/claude-code-templates,User,2026-01-11T20:37:52Z,2026-01-11T19:55:17Z,42997,0,0,0,True,False
matrayu,https://github.com/matrayu/claude-code-templates,User,2026-01-11T20:37:42Z,2026-01-11T19:55:17Z,42997,1,0,0,True,False
ismailbozkurt,https://github.com/ismailbozkurt/claude-code-templates,User,2026-01-11T18:04:03Z,2026-01-11T03:33:34Z,42997,0,0,0,True,False
edoardospina,https://github.com/edoardospina/claude-code-templates,User,2026-01-11T15:19:25Z,2026-01-11T03:33:34Z,42997,0,0,0,True,False
hamgor,https://github.com/hamgor/claude-code-templates,User,2026-01-11T14:56:13Z,2026-01-11T03:33:34Z,42997,0,0,0,True,False
kdonghwa,https://github.com/kdonghwa/claude-code-templates,User,2026-01-11T11:33:46Z,2026-01-11T03:33:34Z,42997,0,0,0,True,False
TintepxPDI,https://github.com/TintepxPDI/claude-code-templates,User,2026-01-11T08:39:21Z,2026-01-11T03:33:34Z,42997,0,0,0,True,False
ouxxyy,https://github.com/ouxxyy/claude-code-templates,User,2026-01-11T04:08:07Z,2026-01-11T03:33:34Z,40681,0,0,0,True,False
lincolnharmer,https://github.com/lincolnharmer/claude-code-templates,User,2026-01-11T02:45:42Z,2026-01-11T00:56:07Z,40681,0,0,0,True,False
lapnd,https://github.com/lapnd/claude-code-templates,User,2026-01-11T02:15:45Z,2026-01-11T00:56:07Z,40681,0,0,0,True,False
bobcoc,https://github.com/bobcoc/claude-code-templates,User,2026-01-11T00:36:21Z,2026-01-11T00:03:22Z,40642,0,0,0,True,False
mgrillo75,https://github.com/mgrillo75/claude-code-templates,User,2026-01-10T23:02:57Z,2026-01-10T16:58:52Z,38355,0,0,0,True,False
digitalsok,https://github.com/digitalsok/claude-code-templates,User,2026-01-10T22:28:04Z,2026-01-10T16:58:52Z,38355,0,0,0,True,False
amats211,https://github.com/amats211/claude-code-templates,User,2026-01-10T21:35:43Z,2026-01-10T16:58:52Z,38355,1,0,0,True,False
kelvincushman,https://github.com/kelvincushman/claude-code-templates,User,2026-01-10T20:21:55Z,2026-01-10T16:58:52Z,38355,0,0,0,True,False
Unix-Dev-Ops,https://github.com/Unix-Dev-Ops/claude-code-templates,User,2026-01-10T16:48:25Z,2026-01-10T16:21:06Z,42345,0,0,0,True,False
BitDanceLabels,https://github.com/BitDanceLabels/claude-code-templates-thinking,User,2026-01-10T16:10:39Z,2026-01-10T15:55:47Z,42345,0,0,0,True,False
clementtrebuchet,https://github.com/clementtrebuchet/claude-code-templates,User,2026-01-10T16:05:10Z,2026-01-10T15:55:47Z,42345,0,0,0,True,False
jordanak,https://github.com/jordanak/claude-code-templates,User,2026-01-10T15:09:48Z,2026-01-10T03:29:21Z,42345,0,0,0,True,False
Phil889,https://github.com/Phil889/claude-code-templates,User,2026-01-10T13:24:52Z,2026-01-10T03:29:21Z,42345,0,0,0,True,False
foss4u,https://github.com/foss4u/claude-code-templates,User,2026-01-10T12:25:17Z,2026-01-10T03:29:21Z,42345,0,0,0,True,False
fedewedreamlabsio,https://github.com/fedewedreamlabsio/claude-code-templates,User,2026-01-10T11:50:11Z,2026-01-10T03:29:21Z,42345,0,0,0,True,False
Yattalo,https://github.com/Yattalo/claude-code-templates-fork,User,2026-01-10T10:47:46Z,2026-01-10T03:29:21Z,42345,0,0,0,True,False
ammohitchaprana,https://github.com/ammohitchaprana/claude-code-templates,User,2026-01-10T10:37:46Z,2026-01-10T10:38:53Z,41059,0,0,1,True,False
melbazpeach-source,https://github.com/melbazpeach-source/claude-code-templates,User,2026-01-10T08:07:50Z,2026-01-12T06:06:20Z,38712,0,0,4,True,False
sirendhead,https://github.com/sirendhead/claude-code-templates,User,2026-01-10T08:04:03Z,2026-01-10T03:29:21Z,42345,0,0,0,True,False
rheehot,https://github.com/rheehot/claude-code-templates,User,2026-01-10T07:58:25Z,2026-01-10T03:29:21Z,42345,0,0,0,True,False
sp00ler,https://github.com/sp00ler/claude-code-templates,User,2026-01-10T07:33:09Z,2026-01-10T03:29:21Z,42345,0,0,0,True,False
Tr0nYx,https://github.com/Tr0nYx/claude-code-templates,User,2026-01-10T07:11:32Z,2026-01-10T03:29:21Z,42345,0,0,0,True,False
HumanSolutions,https://github.com/HumanSolutions/claude-code-templates,User,2026-01-10T07:04:04Z,2026-01-10T03:29:21Z,42345,0,0,0,True,False
ssssccccchhhhh,https://github.com/ssssccccchhhhh/claude-code-templates,User,2026-01-10T06:57:28Z,2026-01-10T03:29:21Z,42345,0,0,0,True,False
Emanucrimson,https://github.com/Emanucrimson/claude-code-templates,User,2026-01-10T05:58:52Z,2026-01-10T03:29:21Z,42345,0,0,0,True,False
0x404ethsol,https://github.com/0x404ethsol/claude-code-templates,User,2026-01-10T04:20:25Z,2026-01-10T03:29:21Z,40083,0,0,0,True,False
nomiscientist,https://github.com/nomiscientist/claude-code-templates,User,2026-01-10T04:18:27Z,2026-01-10T03:29:21Z,40083,0,0,0,True,False
Frostbite1536,https://github.com/Frostbite1536/claude-code-templates,User,2026-01-10T04:02:35Z,2026-01-10T03:29:21Z,40083,0,0,0,True,False
pravinkumarpp,https://github.com/pravinkumarpp/claude-code-templates,User,2026-01-10T03:35:58Z,2026-01-10T03:29:21Z,40083,0,0,0,True,False
localminima10,https://github.com/localminima10/claude-code-templates,User,2026-01-10T03:07:59Z,2026-01-10T01:35:32Z,40083,0,0,0,True,False
ginjaninja78,https://github.com/ginjaninja78/claude-code-templates,User,2026-01-10T03:04:38Z,2026-01-10T01:35:32Z,40083,0,0,0,True,False
lcyhjx,https://github.com/lcyhjx/claude-code-templates,User,2026-01-10T02:33:24Z,2026-01-10T01:35:32Z,39637,0,0,0,True,False
motiveinteract,https://github.com/motiveinteract/claude-code-templates,User,2026-01-10T02:10:27Z,2026-01-10T01:35:32Z,39637,0,0,0,True,False
antonizdp,https://github.com/antonizdp/claude-code-templates,User,2026-01-10T02:09:22Z,2026-01-10T01:35:32Z,39637,0,0,0,True,False
sdschroeder,https://github.com/sdschroeder/claude-code-templates,User,2026-01-10T01:02:49Z,2026-01-09T23:45:16Z,39637,0,0,0,True,False
Bortus-AI,https://github.com/Bortus-AI/claude-code-templates,User,2026-01-10T00:29:19Z,2026-01-09T23:45:16Z,45561,0,0,0,True,False
nextv-show,https://github.com/nextv-show/claude-code-templates,Organization,2026-01-10T00:13:02Z,2026-01-09T23:45:16Z,45561,0,0,0,True,False
patrickcantelmi-eng,https://github.com/patrickcantelmi-eng/claude-code-templates,User,2026-01-09T23:23:12Z,2026-01-09T11:56:20Z,45561,0,0,0,True,False
Anhmike,https://github.com/Anhmike/claude-code-templates,User,2026-01-09T22:26:13Z,2026-01-09T11:56:20Z,45561,0,0,0,True,False
BourneAi,https://github.com/BourneAi/claude-code-templates,User,2026-01-09T21:25:38Z,2026-01-09T11:56:20Z,45561,0,0,0,True,False
petervyvey,https://github.com/petervyvey/claude-code-templates,User,2026-01-09T20:34:50Z,2026-01-09T11:56:20Z,45561,0,0,0,True,False
marichard,https://github.com/marichard/claude-code-templates,User,2026-01-09T19:30:07Z,2026-01-09T11:56:20Z,45561,0,0,0,True,False
LifeJiggy,https://github.com/LifeJiggy/claude-code-templates,User,2026-01-09T19:17:45Z,2026-01-09T11:56:20Z,45561,0,0,0,True,False
Andrel666,https://github.com/Andrel666/claude-code-templates,User,2026-01-09T18:05:05Z,2026-01-09T11:56:20Z,45561,0,0,0,True,False
gordey-devops,https://github.com/gordey-devops/claude-code-templates,User,2026-01-09T17:35:44Z,2026-01-09T11:56:20Z,45561,0,0,0,True,False
vsletten,https://github.com/vsletten/claude-code-templates,User,2026-01-09T16:36:04Z,2026-01-09T11:56:20Z,45561,0,0,0,True,False
sebastienroux,https://github.com/sebastienroux/claude-code-templates,User,2026-01-09T16:19:53Z,2026-01-09T11:56:20Z,45561,0,0,0,True,False
DataDog3331,https://github.com/DataDog3331/claude-code-templates,User,2026-01-09T16:18:10Z,2026-01-09T11:56:20Z,45561,0,0,0,True,False
whmk-m,https://github.com/whmk-m/claude-code-templates,User,2026-01-09T09:27:48Z,2026-01-09T03:32:36Z,45516,0,0,0,True,False
JustinChen-coder,https://github.com/JustinChen-coder/claude-code-templates,User,2026-01-09T09:15:24Z,2026-01-09T03:32:36Z,45516,0,0,0,True,False
randsong-ai,https://github.com/randsong-ai/claude-code-templates,User,2026-01-09T08:32:10Z,2026-01-09T03:32:36Z,45516,0,0,0,True,False
hien,https://github.com/hien/claude-code-templates,User,2026-01-09T06:39:55Z,2026-01-09T03:32:36Z,45516,0,0,0,True,False
Jaleel-zhu,https://github.com/Jaleel-zhu/claude-code-templates,User,2026-01-09T06:29:01Z,2026-01-15T08:42:32Z,44549,0,0,0,True,False
MikeZhang69,https://github.com/MikeZhang69/claude-code-templates,User,2026-01-09T06:02:28Z,2026-01-09T03:32:36Z,45516,0,0,0,True,False
forkgitss,https://github.com/forkgitss/davila7-claude-code-templates1,Organization,2026-01-09T06:02:06Z,2026-01-09T03:32:36Z,45516,0,0,0,True,False
jielichen18,https://github.com/jielichen18/claude-code-templates,User,2026-01-09T05:04:36Z,2026-01-09T03:32:36Z,45516,0,0,0,True,False
hieptranqnu,https://github.com/hieptranqnu/claude-code-templates,User,2026-01-09T03:05:19Z,2026-01-09T00:48:53Z,43249,0,0,0,True,False
